ID;X1;Y1;X2;Y2;length;length_unit;zone;speed;CAR;LDV;HDV;BUS;VEHICLETYPE;roadtype;pollutant;emissionfactor;emission_factor_unit;emission;emission_unit;fleet
1277;4957098.15;2938675.70;4957296.82;2938689.10;199.12898332522406;m;default;48;2286020.2647617743;296081.5332839407;589799.1421504448;0.0;CAR;U;NO2;1.222958695097913E-4;kg/vkm;55.670656339275304;kg;default
1277;4957098.15;2938675.70;4957296.82;2938689.10;199.12898332522406;m;default;48;2286020.2647617743;296081.5332839407;589799.1421504448;0.0;LDV;U;NO2;3.452669058133002E-4;kg/vkm;20.3563894165781;kg;default
1277;4957098.15;2938675.70;4957296.82;2938689.10;199.12898332522406;m;default;48;2286020.2647617743;296081.5332839407;589799.1421504448;0.0;HDV;U;NO2;2.7434501438622225E-4;kg/vkm;32.22075296597493;kg;default
1277;4957098.15;2938675.70;4957296.82;2938689.10;199.12898332522406;m;default;48;2286020.2647617743;296081.5332839407;589799.1421504448;0.0;BUS;U;NO2;4.74594009621917E-4;kg/vkm;0.0;kg;default
1277;4957098.15;2938675.70;4957296.82;2938689.10;199.12898332522406;m;default;48;2286020.2647617743;296081.5332839407;589799.1421504448;0.0;CAR;U;PM25;2.129126787145674E-5;kg/vkm;9.692059604714808;kg;default
1277;4957098.15;2938675.70;4957296.82;2938689.10;199.12898332522406;m;default;48;2286020.2647617743;296081.5332839407;589799.1421504448;0.0;LDV;U;PM25;5.8739396405258636E-5;kg/vkm;3.4631816927359034;kg;default
1277;4957098.15;2938675.70;4957296.82;2938689.10;199.12898332522406;m;default;48;2286020.2647617743;296081.5332839407;589799.1421504448;0.0;HDV;U;PM25;9.27091514529007E-5;kg/vkm;10.888328600875372;kg;default
1277;4957098.15;2938675.70;4957296.82;2938689.10;199.12898332522406;m;default;48;2286020.2647617743;296081.5332839407;589799.1421504448;0.0;BUS;U;PM25;1.1726266856742983E-4;kg/vkm;0.0;kg;default
1277;4957098.15;2938675.70;4957296.82;2938689.10;199.12898332522406;m;default;48;2286020.2647617743;296081.5332839407;589799.1421504448;0.0;CAR;U;PM10;3.5193814879535695E-5;kg/vkm;16.020678223068213;kg;default
1277;4957098.15;2938675.70;4957296.82;2938689.10;199.12898332522406;m;default;48;2286020.2647617743;296081.5332839407;589799.1421504448;0.0;LDV;U;PM10;7.771892256525861E-5;kg/vkm;4.582184466966481;kg;default
1277;4957098.15;2938675.70;4957296.82;2938689.10;199.12898332522406;m;default;48;2286020.2647617743;296081.5332839407;589799.1421504448;0.0;HDV;U;PM10;1.715393328055126E-4;kg/vkm;20.146626242288864;kg;default
1277;4957098.15;2938675.70;4957296.82;2938689.10;199.12898332522406;m;default;48;2286020.2647617743;296081.5332839407;589799.1421504448;0.0;BUS;U;PM10;1.8027649734263275E-4;kg/vkm;0.0;kg;default
1279;4957492.34;2938625.41;4957479.92;2938586.18;41.1517458253142;m;default;49;3451097.51103534;349269.83267626533;707404.3819179181;0.0;CAR;U;NOX;3.7753148159118193E-4;kg/vkm;53.61652554043203;kg;default
1279;4957492.34;2938625.41;4957479.92;2938586.18;41.1517458253142;m;default;49;3451097.51103534;349269.83267626533;707404.3819179181;0.0;LDV;U;NOX;8.699606704260326E-4;kg/vkm;12.50399985304772;kg;default
1279;4957492.34;2938625.41;4957479.92;2938586.18;41.1517458253142;m;default;49;3451097.51103534;349269.83267626533;707404.3819179181;0.0;HDV;U;NOX;0.0021611740987369085;kg/vkm;62.91377779271218;kg;default
1279;4957492.34;2938625.41;4957479.92;2938586.18;41.1517458253142;m;default;49;3451097.51103534;349269.83267626533;707404.3819179181;0.0;BUS;U;NOX;0.0038456101762475593;kg/vkm;0.0;kg;default
1279;4957492.34;2938625.41;4957479.92;2938586.18;41.1517458253142;m;default;49;3451097.51103534;349269.83267626533;707404.3819179181;0.0;CAR;U;NO2;1.2088221862647172E-4;kg/vkm;17.167534042601268;kg;default
1279;4957492.34;2938625.41;4957479.92;2938586.18;41.1517458253142;m;default;49;3451097.51103534;349269.83267626533;707404.3819179181;0.0;LDV;U;NO2;3.4271086844862056E-4;kg/vkm;4.9258050327963145;kg;default
1279;4957492.34;2938625.41;4957479.92;2938586.18;41.1517458253142;m;default;49;3451097.51103534;349269.83267626533;707404.3819179181;0.0;HDV;U;NO2;2.711746703837929E-4;kg/vkm;7.894145578326588;kg;default
1279;4957492.34;2938625.41;4957479.92;2938586.18;41.1517458253142;m;default;49;3451097.51103534;349269.83267626533;707404.3819179181;0.0;BUS;U;NO2;4.6675802582519556E-4;kg/vkm;0.0;kg;default
1279;4957492.34;2938625.41;4957479.92;2938586.18;41.1517458253142;m;default;49;3451097.51103534;349269.83267626533;707404.3819179181;0.0;CAR;U;PM25;2.1104335192924594E-5;kg/vkm;2.9972099866113777;kg;default
1279;4957492.34;2938625.41;4957479.92;2938586.18;41.1517458253142;m;default;49;3451097.51103534;349269.83267626533;707404.3819179181;0.0;LDV;U;PM25;5.811359740898166E-5;kg/vkm;0.8352704187260885;kg;default
1279;4957492.34;2938625.41;4957479.92;2938586.18;41.1517458253142;m;default;49;3451097.51103534;349269.83267626533;707404.3819179181;0.0;HDV;U;PM25;9.173528676545347E-5;kg/vkm;2.670499082274563;kg;default
1279;4957492.34;2938625.41;4957479.92;2938586.18;41.1517458253142;m;default;49;3451097.51103534;349269.83267626533;707404.3819179181;0.0;BUS;U;PM25;1.1593504295686501E-4;kg/vkm;0.0;kg;default
1279;4957492.34;2938625.41;4957479.92;2938586.18;41.1517458253142;m;default;49;3451097.51103534;349269.83267626533;707404.3819179181;0.0;CAR;U;PM10;3.486875086410948E-5;kg/vkm;4.952014235710706;kg;default
1279;4957492.34;2938625.41;4957479.92;2938586.18;41.1517458253142;m;default;49;3451097.51103534;349269.83267626533;707404.3819179181;0.0;LDV;U;PM10;7.687711348898163E-5;kg/vkm;1.1049596245520046;kg;default
1279;4957492.34;2938625.41;4957479.92;2938586.18;41.1517458253142;m;default;49;3451097.51103534;349269.83267626533;707404.3819179181;0.0;HDV;U;PM10;1.6999587837781738E-4;kg/vkm;4.948737320232385;kg;default
1279;4957492.34;2938625.41;4957479.92;2938586.18;41.1517458253142;m;default;49;3451097.51103534;349269.83267626533;707404.3819179181;0.0;BUS;U;PM10;1.7837717702572824E-4;kg/vkm;0.0;kg;default
1281;4957831.08;2938506.95;4957942.84;2938465.92;119.04415842527482;m;default;46;4840827.93182534;387683.6044596109;1139116.0786522867;622.6543841692254;CAR;U;NOX;3.9956290459661225E-4;kg/vkm;230.25702892243837;kg;default
1281;4957831.08;2938506.95;4957942.84;2938465.92;119.04415842527482;m;default;46;4840827.93182534;387683.6044596109;1139116.0786522867;622.6543841692254;LDV;U;NOX;8.920259981537361E-4;kg/vkm;41.168309690900315;kg;default
1281;4957831.08;2938506.95;4957942.84;2938465.92;119.04415842527482;m;default;46;4840827.93182534;387683.6044596109;1139116.0786522867;622.6543841692254;HDV;U;NOX;0.0022447450326292125;kg/vkm;304.39890814240755;kg;default
1281;4957831.08;2938506.95;4957942.84;2938465.92;119.04415842527482;m;default;46;4840827.93182534;387683.6044596109;1139116.0786522867;622.6543841692254;BUS;U;NOX;0.004043216579719816;kg/vkm;0.29969682701861167;kg;default
1281;4957831.08;2938506.95;4957942.84;2938465.92;119.04415842527482;m;default;46;4840827.93182534;387683.6044596109;1139116.0786522867;622.6543841692254;CAR;U;NO2;1.2512317127643053E-4;kg/vkm;72.10501609640302;kg;default
1281;4957831.08;2938506.95;4957942.84;2938465.92;119.04415842527482;m;default;46;4840827.93182534;387683.6044596109;1139116.0786522867;622.6543841692254;LDV;U;NO2;3.503789805426594E-4;kg/vkm;16.17050445840946;kg;default
