year	month	day	hour	O3 (ug/m3)	NOX (ug/m3)	NO2 (ug/m3)	PM25 (ug/m3)	PM10 (ug/m3)
2015	8	22	12	114.527678973	3.28011569859	3.07285618782	9.67372120177	12.8544870304
2015	8	22	13	120.726168354	2.58763642001	2.43474196225	9.16516208649	12.8981270142
2015	8	22	14	121.341373444	2.27665371363	2.15101802349	8.93824027746	12.0505421162
2015	8	22	15	122.946575165	2.18700972695	2.07981914282	8.85570716858	11.6107933521
2015	8	22	16	123.070299149	2.5492080573	2.44375830889	8.63765072823	11.5702023456
2015	8	22	17	125.808808687	2.81230811714	2.72195872871	8.72044100952	11.5652546883
2015	8	22	18	123.625188828	3.2546630423	3.18049992538	9.6318526268	11.7050784048
2015	8	22	19	121.116600895	4.26349346141	4.24330168962	10.3034267426	13.6257058023
2015	8	22	20	119.984459858	4.59458327293	4.59458327293	11.9126421066	16.266592741
2015	8	22	21	117.444312926	4.86393845081	4.86393845081	12.2218785286	19.0767140388
2015	8	22	22	113.710720412	5.16676008701	5.16676008701	13.6088039431	20.1273345947
2015	8	22	23	111.614129006	5.50816643921	5.50816643921	13.9017164707	20.9816236496
2015	8	23	0	110.038612366	6.10967040373	6.10967040373	12.8598598638	18.9890039496
2015	8	23	1	111.861165964	5.62789988518	5.62789988518	11.6196835728	17.4660742816
2015	8	23	2	110.731496811	5.66716985108	5.66716985108	12.2397964001	18.8724188954
2015	8	23	3	107.942193985	5.52142035961	5.52142035961	12.64670825	17.5267750694
2015	8	23	4	104.32690239	6.41683316231	6.41683316231	13.2174272537	18.4724855423
2015	8	23	5	97.9974822062	6.35710371226	6.35614264011	13.5581989288	18.6571717262
2015	8	23	6	93.2215822494	6.19739027584	6.04672312737	13.4947261505	18.4200019836
2015	8	23	7	91.417142868	6.37705860394	6.11464137773	12.1097500684	16.4864625931
2015	8	23	8	92.0068372163	6.26530937585	5.93345153332	10.6157696247	15.7045767307
2015	8	23	9	93.8604488373	5.6778763351	5.32991421223	10.3607857227	15.6421592236
2015	8	23	10	97.2946624756	5.57978617579	5.21238923073	9.39547297762	13.4933583736
2015	8	23	11	107.608821869	4.32754575664	4.05174773932	8.69036340601	11.8257997036
2015	8	23	12	112.667535576	3.49504537378	3.28104609251	7.79901111126	10.4373908043
2015	8	23	13	109.077286749	2.59500895446	2.44712132216	5.03531446775	8.67710161209
2015	8	23	14	100.533967972	1.99968981198	1.92900112271	4.14490728682	7.26624393463
2015	8	23	15	93.1209430695	2.24663048432	2.16073922774	4.99324262142	9.01416349411
2015	8	23	16	82.2410814958	2.83177052457	2.74816733288	6.8891818919	9.41078352928
2015	8	23	17	76.8390464783	2.87249754767	2.820954144	3.79960912466	4.84344959259
2015	8	23	18	67.7144529883	2.9489240251	2.91389960051	2.54902559519	3.7163233161
2015	8	23	19	62.0935506821	3.82163064692	3.81926077604	2.76368063688	4.29078346491
2015	8	23	20	56.4519290924	3.91929668188	3.91929668188	2.65675520897	3.6383060813
2015	8	23	21	57.1814174652	4.38658339495	4.38658339495	3.16629598683	4.43861222267
2015	8	23	22	55.1810531616	3.27645522356	3.27645522356	3.71537679434	4.50794136524
2015	8	23	23	54.9664554596	3.69619709253	3.69619709253	3.93782991186	5.05002301936
2015	8	24	0	46.6024522781	2.78398245573	2.78398245573	4.64691115125	6.17406725883
2015	8	24	1	43.6283779144	2.64514225721	2.64514225721	5.88016315779	7.73557901382
2015	8	24	2	43.850271225	3.36182238526	3.36182238526	5.20696997643	6.64963841438
2015	8	24	3	43.7544608137	2.25438848138	2.25438848138	4.5075917244	5.88005101681
2015	8	24	4	46.2298650742	2.6255162754	2.6255162754	3.96181827784	6.07775092125
2015	8	24	5	46.7963924408	2.76707547705	2.76664930582	3.78618919849	5.32049273392
