ID	X1	Y1	X2	Y2	CAR	LDV	HDV	BUS	road type	Speed	Height
153288	5.1257254	50.0991251	5.1321047	50.1002564	6191098.049	809721.2557	532491.9011	72260.39803	R	82	0
158654	5.112672	50.1598865	5.1118851	50.1585489	29741.58862	3889.842529	2558.052698	347.1337419	R	82	0
158673	5.1845688	50.1263141	5.1847749	50.1262809	5999415.522	784651.4839	516005.4246	70023.14455	R	50	0
158703	5.1865035	50.1673535	5.1945396	50.1672751	218055.9288	28519.09615	18754.83399	2545.074894	R	90	0
158713	5.113873	50.1710562	5.1158984	50.1700634	29741.58862	3889.842529	2558.052698	347.1337419	R	82	0
158714	5.1158984	50.1700634	5.1150356	50.1686357	29741.58862	3889.842529	2558.052698	347.1337419	R	82	0
158715	5.1150356	50.1686357	5.1188071	50.1683427	29741.58862	3889.842529	2558.052698	347.1337419	R	82	0
158716	5.1188071	50.1683427	5.115918	50.1666135	29741.58862	3889.842529	2558.052698	347.1337419	R	82	0
158717	5.115918	50.1666135	5.1154861	50.1654776	29741.58862	3889.842529	2558.052698	347.1337419	R	82	0
158718	5.1136463	50.1545129	5.1137968	50.1540666	29741.58862	3889.842529	2558.052698	347.1337419	R	50	0
158726	5.1010398	50.1188197	5.1018589	50.11815	1100938.204	143989.4924	171408.0735	6826.444334	H	120	0
158751	5.0995168	50.1429954	5.1032769	50.1370735	161945.8105	21180.56668	13928.84297	1890.17661	R	82	0
158789	5.1660062	50.1127994	5.1698985	50.1137214	5999415.522	784651.4839	516005.4246	70023.14455	R	50	0
158800	5.1867691	50.1257144	5.1869854	50.1256189	5999415.522	784651.4839	516005.4246	70023.14455	R	30	0
158824	5.136813	50.1076944	5.139886	50.1082603	5999415.522	784651.4839	516005.4246	70023.14455	R	50	0
158826	5.113873	50.1710562	5.1147105	50.1711137	218055.9288	28519.09615	18754.83399	2545.074894	R	70	0
158828	5.1127734	50.1519931	5.1127485	50.1518822	29741.58862	3889.842529	2558.052698	347.1337419	R	50	0
158883	5.1188051	50.1045051	5.1007909	50.1192475	933072.3206	122034.6512	145272.576	5785.580182	H	120	0
158911	5.1857302	50.1260724	5.1859864	50.1260097	5999415.522	784651.4839	516005.4246	70023.14455	R	30	0
158999	5.1888413	50.1265125	5.1887361	50.1263845	5999415.522	784651.4839	516005.4246	70023.14455	R	50	0
159012	5.1833839	50.126141	5.1843168	50.126331	5999415.522	784651.4839	516005.4246	70023.14455	R	50	0
159071	5.1843014	50.1356501	5.1839081	50.1373022	5999415.522	784651.4839	516005.4246	70023.14455	R	90	0
159072	5.1839081	50.1373022	5.1861759	50.139672	5999415.522	784651.4839	516005.4246	70023.14455	R	90	0
159073	5.1861759	50.139672	5.1854052	50.1424898	5999415.522	784651.4839	516005.4246	70023.14455	R	90	0
159074	5.1854052	50.1424898	5.1870306	50.1430038	5999415.522	784651.4839	516005.4246	70023.14455	R	90	0
159075	5.1870306	50.1430038	5.1922296	50.1410667	5999415.522	784651.4839	516005.4246	70023.14455	R	90	0
159076	5.1922296	50.1410667	5.1936756	50.1412968	5999415.522	784651.4839	516005.4246	70023.14455	R	90	0
159077	5.1936756	50.1412968	5.1946693	50.1423486	5999415.522	784651.4839	516005.4246	70023.14455	R	90	0
159078	5.1946693	50.1423486	5.1947269	50.1466765	5999415.522	784651.4839	516005.4246	70023.14455	R	90	0
159079	5.1947269	50.1466765	5.1977471	50.1494965	5999415.522	784651.4839	516005.4246	70023.14455	R	90	0
159080	5.1977471	50.1494965	5.1999812	50.1504205	5999415.522	784651.4839	516005.4246	70023.14455	R	90	0
159147	5.1127762	50.1600227	5.112672	50.1598865	29741.58862	3889.842529	2558.052698	347.1337419	R	82	0
159259	5.1007909	50.1192475	5.0910159	50.1280782	933072.3206	122034.6512	145272.576	5785.580182	H	120	0
159434	5.1899401	50.1278846	5.189473	50.1272951	5999415.522	784651.4839	516005.4246	70023.14455	R	50	0
159478	5.1130863	50.1712322	5.1132242	50.1710057	29741.58862	3889.842529	2558.052698	347.1337419	R	82	0
159493	5.1190822	50.1042832	5.1188051	50.1045051	933072.3206	122034.6512	145272.576	5785.580182	H	120	0
159494	5.1018589	50.11815	5.1155074	50.1069889	1100938.204	143989.4924	171408.0735	6826.444334	H	120	0
159496	5.0899898	50.1289421	5.1010398	50.1188197	1100938.204	143989.4924	171408.0735	6826.444334	H	120	0
159520	5.1037074	50.1364058	5.1042493	50.1355793	191687.3991	25070.40921	16486.89566	2237.310352	R	82	0
159521	5.1881866	50.1257249	5.1878758	50.1253997	5999415.522	784651.4839	516005.4246	70023.14455	R	50	0
159547	5.1871548	50.1255442	5.1872639	50.1254961	5999415.522	784651.4839	516005.4246	70023.14455	R	30	0
